ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92103,1,2025,C,Y,0,0,0
92103,1,2025,I,Y,0,0,0
92103,1,2025,R,Y,8543,2340859,274
92104,1,2025,A,Y,0,0,0
92104,1,2025,C,Y,0,0,0
92104,1,2025,I,Y,0,0,0
92104,1,2025,R,N,9659,2241510,232
92105,1,2025,A,Y,0,0,0
92105,1,2025,C,Y,0,0,0
92105,1,2025,I,Y,0,0,0
92105,1,2025,R,N,6596,1756829,266
92106,1,2025,A,Y,0,0,0
92106,1,2025,C,Y,0,0,0
92106,1,2025,I,Y,0,0,0
92106,1,2025,R,Y,2312,853081,369
92107,1,2025,A,Y,0,0,0
92107,1,2025,C,Y,0,0,0
92107,1,2025,I,Y,0,0,0
92107,1,2025,R,N,4965,1433443,289
92108,1,2025,A,Y,0,0,0
92108,1,2025,C,N,488,10009122,20510
92108,1,2025,I,Y,0,0,0
92108,1,2025,R,N,8993,2883111,321
92109,1,2025,A,Y,0,0,0
92109,1,2025,C,Y,0,0,0
92109,1,2025,I,Y,0,0,0
92109,1,2025,R,N,10296,2803386,272
92110,1,2025,A,Y,0,0,0
92110,1,2025,C,Y,0,0,0
92110,1,2025,I,Y,0,0,0
92110,1,2025,R,N,4933,1517729,308
92111,1,2025,A,Y,0,0,0
92111,1,2025,C,Y,714,5350445,7494
92111,1,2025,I,Y,0,0,0
92111,1,2025,R,Y,4828,1492558,309
92112,1,2025,A,Y,0,0,0
92112,1,2025,C,Y,0,0,0
92112,1,2025,I,Y,0,0,0
92112,1,2025,R,Y,0,0,0
92113,1,2025,A,Y,0,0,0
92113,1,2025,C,Y,0,0,0
92113,1,2025,I,Y,0,0,0
92113,1,2025,R,N,3768,1056272,280
92114,1,2025,A,Y,0,0,0
92114,1,2025,C,Y,0,0,0
92114,1,2025,I,Y,0,0,0
92114,1,2025,R,N,3613,1334381,369
92115,1,2025,A,Y,0,0,0
92115,1,2025,C,Y,627,4564225,7279
92115,1,2025,I,Y,0,0,0
92115,1,2025,R,Y,8419,4057906,482
92116,1,2025,A,Y,0,0,0
92116,1,2025,C,Y,0,0,0
92116,1,2025,I,Y,0,0,0
92116,1,2025,R,N,6970,1605940,230
92117,1,2025,A,Y,0,0,0
92117,1,2025,C,Y,0,0,0
92117,1,2025,I,Y,0,0,0
92117,1,2025,R,N,6051,1731648,286
92118,1,2025,A,Y,0,0,0
92118,1,2025,C,Y,0,0,0
92118,1,2025,I,Y,0,0,0
92118,1,2025,R,Y,7944,5788331,729
92119,1,2025,A,Y,0,0,0
92119,1,2025,C,Y,0,0,0
92119,1,2025,I,Y,0,0,0
92119,1,2025,R,N,2633,850815,323
92120,1,2025,A,Y,0,0,0
92120,1,2025,C,Y,0,0,0
92120,1,2025,I,Y,0,0,0
92120,1,2025,R,N,4632,1552407,335
92121,1,2025,A,Y,0,0,0
92121,1,2025,C,Y,0,0,0
92121,1,2025,I,Y,0,0,0
92121,1,2025,R,Y,784,694007,885
92122,1,2025,A,Y,0,0,0
92122,1,2025,C,Y,0,0,0
92122,1,2025,I,Y,0,0,0
92122,1,2025,R,N,11213,3641410,325
92123,1,2025,A,Y,0,0,0
92123,1,2025,C,Y,532,16559521,31127
92123,1,2025,I,Y,0,0,0
92123,1,2025,R,Y,5149,2327504,452
92124,1,2025,A,Y,0,0,0
92124,1,2025,C,Y,0,0,0
92124,1,2025,I,Y,0,0,0
92124,1,2025,R,N,3280,1023108,312
92126,1,2025,A,Y,0,0,0
92126,1,2025,C,Y,0,0,0
92126,1,2025,I,Y,0,0,0
92126,1,2025,R,Y,9281,2745622,296
92127,1,2025,A,Y,0,0,0
92127,1,2025,C,Y,0,0,0
92127,1,2025,I,Y,0,0,0
92127,1,2025,R,N,4021,2310595,575
92128,1,2025,A,Y,0,0,0
92128,1,2025,C,Y,0,0,0
92128,1,2025,I,Y,0,0,0
92128,1,2025,R,Y,6720,2590517,385
92129,1,2025,A,Y,0,0,0
92129,1,2025,C,Y,0,0,0
92129,1,2025,I,Y,0,0,0
92129,1,2025,R,N,5153,1710668,332
92130,1,2025,A,Y,0,0,0
92130,1,2025,C,Y,0,0,0
92130,1,2025,I,Y,0,0,0
92130,1,2025,R,N,7328,2776277,379
92131,1,2025,A,Y,0,0,0
92131,1,2025,C,Y,226,3199023,14155
92131,1,2025,I,Y,0,0,0
92131,1,2025,R,Y,3644,1154907,317
92132,1,2025,A,Y,0,0,0
92132,1,2025,C,Y,0,0,0
92132,1,2025,I,Y,0,0,0
92132,1,2025,R,Y,0,0,0
92134,1,2025,A,Y,0,0,0
92134,1,2025,C,Y,0,0,0
92134,1,2025,I,Y,0,0,0
92134,1,2025,R,Y,0,0,0
92135,1,2025,A,Y,0,0,0
92135,1,2025,C,Y,0,0,0
92135,1,2025,I,Y,0,0,0
92135,1,2025,R,Y,0,0,0
92136,1,2025,A,Y,0,0,0
92136,1,2025,C,Y,0,0,0
92136,1,2025,I,Y,0,0,0
92136,1,2025,R,Y,0,0,0
92139,1,2025,A,Y,0,0,0
92139,1,2025,C,Y,0,0,0
92139,1,2025,I,Y,0,0,0
92139,1,2025,R,N,2252,678461,301
92145,1,2025,A,Y,0,0,0
92145,1,2025,C,Y,0,0,0
92145,1,2025,I,Y,0,0,0
92145,1,2025,R,Y,0,0,0
92152,1,2025,A,Y,0,0,0
92152,1,2025,C,Y,0,0,0
92152,1,2025,I,Y,0,0,0
92152,1,2025,R,Y,0,0,0
92154,1,2025,A,Y,0,0,0
92154,1,2025,C,Y,679,9801696,14435
92154,1,2025,I,Y,0,0,0
92154,1,2025,R,Y,6013,2104054,350
92155,1,2025,A,Y,0,0,0
92155,1,2025,C,Y,0,0,0
92155,1,2025,I,Y,0,0,0
92155,1,2025,R,Y,0,0,0
92158,1,2025,A,Y,0,0,0
92158,1,2025,C,Y,0,0,0
92158,1,2025,I,Y,0,0,0
92158,1,2025,R,Y,0,0,0
92161,1,2025,A,Y,0,0,0
92161,1,2025,C,Y,0,0,0
92161,1,2025,I,Y,0,0,0
92161,1,2025,R,Y,0,0,0
92173,1,2025,A,Y,0,0,0
92173,1,2025,C,Y,0,0,0
92173,1,2025,I,Y,0,0,0
92173,1,2025,R,N,1534,325838,212
92179,1,2025,A,Y,0,0,0
92179,1,2025,C,Y,0,0,0
92179,1,2025,I,Y,0,0,0
92179,1,2025,R,Y,0,0,0
92182,1,2025,A,Y,0,0,0
92182,1,2025,C,Y,0,0,0
92182,1,2025,I,Y,0,0,0
92182,1,2025,R,Y,0,0,0
92199,1,2025,A,Y,0,0,0
92199,1,2025,C,Y,0,0,0
92199,1,2025,I,Y,0,0,0
92199,1,2025,R,Y,0,0,0
92536,1,2025,A,Y,0,0,0
92536,1,2025,C,Y,0,0,0
92536,1,2025,I,Y,0,0,0
92536,1,2025,R,Y,0,0,0
92624,1,2025,A,Y,0,0,0
92624,1,2025,C,Y,0,0,0
92624,1,2025,I,Y,0,0,0
92624,1,2025,R,N,2873,1436185,500
92625,1,2025,A,Y,0,0,0
92629,1,2025,A,Y,0,0,0
92629,1,2025,C,Y,0,0,0
92629,1,2025,I,Y,0,0,0
92629,1,2025,R,N,13103,6012999,459
92649,1,2025,A,Y,0,0,0
92651,1,2025,A,Y,0,0,0
92651,1,2025,C,Y,0,0,0
92651,1,2025,I,Y,0,0,0
92651,1,2025,R,Y,1629,978695,601
92653,1,2025,A,Y,0,0,0
92653,1,2025,C,Y,0,0,0
92653,1,2025,I,Y,0,0,0
92653,1,2025,R,N,5750,3285615,571
92654,1,2025,A,Y,0,0,0
92654,1,2025,C,Y,0,0,0
92654,1,2025,I,Y,0,0,0
92654,1,2025,R,Y,0,0,0
92656,1,2025,A,Y,0,0,0
92656,1,2025,C,Y,0,0,0
92656,1,2025,I,Y,0,0,0
92656,1,2025,R,N,2327,790383,340
92672,1,2025,A,Y,0,0,0
92672,1,2025,C,Y,0,0,0
92672,1,2025,I,Y,0,0,0
92672,1,2025,R,Y,15565,6274392,403
92673,1,2025,A,Y,0,0,0
92673,1,2025,C,N,768,5787341,7536
92673,1,2025,I,Y,0,0,0
92673,1,2025,R,N,10202,5022226,492
92674,1,2025,A,Y,0,0,0
92674,1,2025,C,Y,0,0,0
92674,1,2025,I,Y,0,0,0
92674,1,2025,R,Y,0,0,0
92675,1,2025,A,Y,0,0,0
92675,1,2025,C,Y,1320,8347302,6324
92675,1,2025,I,Y,0,0,0
92675,1,2025,R,Y,11918,7316717,614
92676,1,2025,A,Y,0,0,0
92676,1,2025,C,Y,0,0,0
92676,1,2025,I,Y,0,0,0
92676,1,2025,R,Y,0,0,0
92677,1,2025,A,Y,0,0,0
92677,1,2025,C,Y,1708,11412635,6682
92677,1,2025,I,Y,0,0,0
92677,1,2025,R,Y,23077,10092878,437
92679,1,2025,A,Y,0,0,0
92679,1,2025,C,Y,0,0,0
92679,1,2025,I,Y,0,0,0
92679,1,2025,R,N,3215,2017399,627
92688,1,2025,A,Y,0,0,0
92688,1,2025,C,Y,0,0,0
92688,1,2025,I,Y,0,0,0
92688,1,2025,R,N,1980,731713,370
92690,1,2025,A,Y,0,0,0
92690,1,2025,C,Y,0,0,0
92690,1,2025,I,Y,0,0,0
92690,1,2025,R,Y,0,0,0
92691,1,2025,A,Y,0,0,0
92691,1,2025,C,Y,374,4713018,12602
92691,1,2025,I,Y,0,0,0
92691,1,2025,R,Y,3903,1577003,404
92692,1,2025,A,Y,0,0,0
92692,1,2025,C,Y,0,0,0
92692,1,2025,I,Y,0,0,0
92692,1,2025,R,N,6339,2634703,416
92693,1,2025,A,Y,0,0,0
92693,1,2025,C,Y,0,0,0
92693,1,2025,I,Y,0,0,0
92693,1,2025,R,Y,0,0,0
92694,1,2025,A,Y,0,0,0
92694,1,2025,C,Y,0,0,0
92694,1,2025,I,Y,0,0,0
92694,1,2025,R,N,13185,6313829,479
91901,2,2025,A,Y,0,0,0
91901,2,2025,C,Y,0,0,0
91901,2,2025,I,Y,0,0,0
91901,2,2025,R,Y,2746,1152104,420
91902,2,2025,A,Y,0,0,0
91902,2,2025,C,Y,0,0,0
91902,2,2025,I,Y,0,0,0
91902,2,2025,R,N,1189,409753,345
91905,2,2025,A,Y,0,0,0
91905,2,2025,C,Y,0,0,0
91905,2,2025,I,Y,0,0,0
91905,2,2025,R,Y,0,0,0
91906,2,2025,A,Y,0,0,0
91906,2,2025,C,Y,0,0,0
91906,2,2025,I,Y,0,0,0
91906,2,2025,R,Y,608,311561,512
91910,2,2025,A,Y,0,0,0
91910,2,2025,C,Y,533,5532966,10381
91910,2,2025,I,Y,0,0,0
91910,2,2025,R,Y,7871,1900839,241
91911,2,2025,A,Y,0,0,0
91911,2,2025,C,Y,716,5576629,7789
91911,2,2025,I,Y,0,0,0
91911,2,2025,R,Y,6850,1849749,270
91912,2,2025,A,Y,0,0,0
91912,2,2025,C,Y,0,0,0
91912,2,2025,I,Y,0,0,0
91912,2,2025,R,Y,0,0,0
91913,2,2025,A,Y,0,0,0
91913,2,2025,C,Y,0,0,0
91913,2,2025,I,Y,0,0,0
91913,2,2025,R,N,6462,1735796,269
91914,2,2025,A,Y,0,0,0
91914,2,2025,C,Y,0,0,0
91914,2,2025,I,Y,0,0,0
91914,2,2025,R,N,936,241613,258
91915,2,2025,A,Y,0,0,0
91915,2,2025,C,Y,0,0,0
91915,2,2025,I,Y,0,0,0
91915,2,2025,R,N,4092,1098919,269
91916,2,2025,A,Y,0,0,0
91916,2,2025,C,Y,0,0,0
91916,2,2025,I,Y,0,0,0
91916,2,2025,R,Y,0,0,0
91917,2,2025,A,Y,0,0,0
91917,2,2025,C,Y,0,0,0
91917,2,2025,I,Y,0,0,0
91917,2,2025,R,Y,0,0,0
91931,2,2025,A,Y,0,0,0
91931,2,2025,C,Y,0,0,0
91931,2,2025,I,Y,0,0,0
91931,2,2025,R,Y,0,0,0
91932,2,2025,A,Y,0,0,0
91932,2,2025,C,N,128,414031,3235
91932,2,2025,I,Y,0,0,0
91932,2,2025,R,N,3992,921916,231
91934,2,2025,A,Y,0,0,0
91934,2,2025,C,Y,0,0,0
91934,2,2025,I,Y,0,0,0
91934,2,2025,R,Y,0,0,0
91935,2,2025,A,Y,0,0,0
91935,2,2025,C,Y,0,0,0
91935,2,2025,I,Y,0,0,0
91935,2,2025,R,N,579,234893,406
91941,2,2025,A,Y,0,0,0
91941,2,2025,C,Y,0,0,0
91941,2,2025,I,Y,0,0,0
91941,2,2025,R,N,3547,945179,266
91942,2,2025,A,Y,0,0,0
91942,2,2025,C,N,547,4230604,7734
91942,2,2025,I,Y,0,0,0
91942,2,2025,R,N,6866,1707233,249
91945,2,2025,A,Y,0,0,0
91945,2,2025,C,N,581,2579448,4440
91945,2,2025,I,Y,0,0,0
91945,2,2025,R,N,9213,2482419,269
91948,2,2025,A,Y,0,0,0
91948,2,2025,C,Y,0,0,0
91948,2,2025,I,Y,0,0,0
91948,2,2025,R,Y,0,0,0
91950,2,2025,A,Y,0,0,0
91950,2,2025,C,Y,595,5665517,9522
91950,2,2025,I,Y,0,0,0
91950,2,2025,R,Y,3981,1199053,301
91962,2,2025,A,Y,0,0,0
91962,2,2025,C,Y,0,0,0
91962,2,2025,I,Y,0,0,0
91962,2,2025,R,Y,0,0,0
91963,2,2025,A,Y,0,0,0
91963,2,2025,C,Y,0,0,0
91963,2,2025,I,Y,0,0,0
91963,2,2025,R,Y,0,0,0
91977,2,2025,A,Y,0,0,0
91977,2,2025,C,Y,0,0,0
91977,2,2025,I,Y,0,0,0
91977,2,2025,R,N,4349,1103887,254
91978,2,2025,A,Y,0,0,0
91978,2,2025,C,Y,0,0,0
91978,2,2025,I,Y,0,0,0
91978,2,2025,R,N,738,469560,636
91980,2,2025,A,Y,0,0,0
91980,2,2025,C,Y,0,0,0
91980,2,2025,I,Y,0,0,0
91980,2,2025,R,Y,0,0,0
92003,2,2025,A,Y,0,0,0
92003,2,2025,C,Y,0,0,0
92003,2,2025,I,Y,0,0,0
92003,2,2025,R,N,445,190062,427
92004,2,2025,A,Y,0,0,0
92004,2,2025,C,Y,0,0,0
92004,2,2025,I,Y,0,0,0
92004,2,2025,R,Y,443,87893,198
92007,2,2025,A,Y,0,0,0
92007,2,2025,C,Y,0,0,0
92007,2,2025,I,Y,0,0,0
92007,2,2025,R,N,1387,408821,295
92008,2,2025,A,Y,0,0,0
92008,2,2025,C,N,762,7845791,10296
92008,2,2025,I,Y,0,0,0
92008,2,2025,R,N,5504,1622772,295
92009,2,2025,A,Y,0,0,0
92009,2,2025,C,Y,0,0,0
92009,2,2025,I,Y,0,0,0
92009,2,2025,R,N,4930,1474313,299
92010,2,2025,A,Y,0,0,0
92010,2,2025,C,Y,0,0,0
92010,2,2025,I,Y,0,0,0
92010,2,2025,R,N,2654,890548,336
92011,2,2025,A,Y,0,0,0
92011,2,2025,C,N,275,1916165,6968
92011,2,2025,I,Y,0,0,0
92011,2,2025,R,N,3306,982322,297
92014,2,2025,A,Y,0,0,0
92014,2,2025,C,Y,0,0,0
92014,2,2025,I,Y,0,0,0
92014,2,2025,R,N,2087,811230,389
92019,2,2025,A,Y,0,0,0
92019,2,2025,C,Y,0,0,0
92019,2,2025,I,Y,0,0,0
